order_id|order_date|customer_email|product_code|quantity|unit_price|total_amount|payment_method|country_code|vat_rate|vat_amount
EU577161|20-03-2025|carlos.dupont1874@example.es|WID149|3|€112,49|€401,59|bank_transfer|DE|19%|€64,12
EU578982|20-03-2025|marie.garcia9300@example.fr|WID141|1|€279,74|€335,69|paypal|FR|20%|€55,95
EU575304|20-03-2025|carlos.de_vries2380@example.it|WID199|4|€230,17|€1104,80|paypal|FR|20%|€184,13
EU576190|20-03-2025|carlos.schmidt2441@example.de|WID158|4|€230,38|€1115,02|bank_transfer|NL|21%|€193,52
EU576283|20-03-2025|hans.garcia8056@example.es|WID119|2|€265,96|€643,62|paypal|NL|21%|€111,70
EU577636|20-03-2025|sofia.garcia977@example.es|WID170|1|€113,46|€137,29|credit_card|NL|21%|€23,83
EU580075|20-03-2025|lucia.dupont6802@example.es|WID122|1|€175,40|€213,99|bank_transfer|IT|22%|€38,59
EU578013|20-03-2025|pierre.garcia3482@example.fr|WID198|2|€246,78|€597,21|bank_transfer|ES|21%|€103,65
EU575449|20-03-2025|sofia.schmidt3758@example.it|WID141|5|€60,92|€368,57|credit_card|ES|21%|€63,97
EU578104|20-03-2025|lucia.schmidt3233@example.de|WID142|1|€121,01|€146,43|paypal|ES|21%|€25,41
EU574987|20-03-2025|pierre.de_vries6612@example.nl|WID137|4|€143,77|€695,83|carte_bancaire|NL|21%|€120,76
EU579725|20-03-2025|jan.de_vries8051@example.de|WID123|4|€241,22|€1177,15|bank_transfer|IT|22%|€212,27
EU579983|20-03-2025|anna.garcia7524@example.it|WID183|4|€166,66|€806,63|paypal|NL|21%|€139,99
EU580306|20-03-2025|hans.de_vries9842@example.de|WID143|1|€104,47|€126,40|credit_card|ES|21%|€21,94
EU576374|20-03-2025|sofia.de_vries7285@example.fr|WID194|2|€151,68|€367,08|bank_transfer|ES|21%|€63,71
EU576629|20-03-2025|carlos.rossi355@example.fr|WID176|5|€239,69|€1450,12|carte_bancaire|ES|21%|€251,67
EU578370|20-03-2025|jan.schmidt8728@example.nl|WID159|1|€11,12|€13,45|bank_transfer|ES|21%|€2,33
EU577913|20-03-2025|hans.schmidt934@example.fr|WID196|3|€235,73|€848,62|bank_transfer|FR|20%|€141,44
EU578282|20-03-2025|lucia.rossi7810@example.de|WID144|3|€172,34|€615,25|credit_card|DE|19%|€98,23
