order_id|order_date|customer_email|product_code|quantity|unit_price|total_amount|payment_method|country_code|vat_rate|vat_amount
EU573174|19-03-2025|marie.dupont2295@example.fr|WID120|4|€224,19|€1085,07|credit_card|NL|21%|€188,32
EU573302|19-03-2025|anna.dupont7902@example.it|WID118|3|€149,11|€536,80|credit_card|FR|20%|€89,47
EU570565|19-03-2025|pierre.dupont6976@example.es|WID192|5|€62,39|€374,35|credit_card|FR|20%|€62,39
EU569954|19-03-2025|jan.de_vries4131@example.es|WID163|4|€145,24|€708,75|credit_card|IT|22%|€127,81
EU569221|19-03-2025|anna.de_vries451@example.it|WID194|3|€144,38|€515,44|credit_card|DE|19%|€82,30
EU568807|19-03-2025|lucia.rossi5430@example.es|WID158|3|€288,26|€1046,39|carte_bancaire|ES|21%|€181,60
EU572171|19-03-2025|lucia.de_vries7490@example.nl|WID143|1|€69,47|€83,37|carte_bancaire|FR|20%|€13,89
EU571190|19-03-2025|marie.de_vries6526@example.fr|WID161|2|€84,24|€203,87|bank_transfer|ES|21%|€35,38
EU571807|19-03-2025|hans.dupont6020@example.fr|WID134|2|€30,84|€75,25|carte_bancaire|IT|22%|€13,57
EU568011|19-03-2025|hans.garcia1672@example.it|WID132|4|€251,70|€1218,21|credit_card|ES|21%|€211,42
EU573198|19-03-2025|pierre.garcia1705@example.nl|WID106|1|€283,86|€340,63|credit_card|FR|20%|€56,77
EU571985|19-03-2025|marie.de_vries3403@example.fr|WID135|5|€221,84|€1353,22|carte_bancaire|IT|22%|€244,02
EU567742|19-03-2025|lucia.schmidt9721@example.nl|WID148|1|€78,31|€93,18|credit_card|DE|19%|€14,88
EU570973|19-03-2025|anna.garcia2278@example.it|WID115|3|€52,27|€188,16|bank_transfer|FR|20%|€31,36
EU571666|19-03-2025|hans.schmidt5031@example.es|WID118|1|€241,23|€291,89|carte_bancaire|ES|21%|€50,66
EU569869|19-03-2025|carlos.garcia9831@example.it|WID192|5|€297,62|€1815,51|carte_bancaire|IT|22%|€327,39
EU569790|19-03-2025|marie.schmidt9397@example.nl|WID161|5|€140,43|€835,56|paypal|DE|19%|€133,41
EU568148|19-03-2025|pierre.de_vries820@example.fr|WID106|4|€148,20|€717,29|bank_transfer|ES|21%|€124,49
