order_id|order_date|customer_email|product_code|quantity|unit_price|total_amount|payment_method|country_code|vat_rate|vat_amount
EU268643|06-02-2025|pierre.schmidt495@example.nl|WID122|3|€13,45|€48,83|carte_bancaire|NL|21%|€8,47
EU269995|06-02-2025|lucia.de_vries531@example.it|WID190|5|€287,64|€1725,84|paypal|FR|20%|€287,64
EU268353|06-02-2025|jan.schmidt849@example.es|WID140|3|€35,77|€128,77|credit_card|FR|20%|€21,46
EU266792|06-02-2025|jan.dupont7003@example.fr|WID116|4|€191,24|€910,28|credit_card|DE|19%|€145,34
EU270124|06-02-2025|anna.schmidt9429@example.de|WID134|3|€252,54|€909,15|credit_card|FR|20%|€151,53
EU265182|06-02-2025|carlos.schmidt1327@example.nl|WID135|1|€103,29|€126,02|carte_bancaire|IT|22%|€22,72
EU268656|06-02-2025|carlos.dupont1799@example.es|WID194|5|€134,37|€799,48|paypal|DE|19%|€127,65
EU269464|06-02-2025|hans.dupont5679@example.de|WID116|5|€63,96|€383,77|paypal|FR|20%|€63,96
EU265266|06-02-2025|jan.schmidt6087@example.nl|WID169|3|€175,23|€636,10|carte_bancaire|ES|21%|€110,40
EU272000|06-02-2025|lucia.rossi4727@example.de|WID166|3|€64,54|€232,33|carte_bancaire|FR|20%|€38,72
EU269043|06-02-2025|carlos.garcia7367@example.it|WID160|4|€197,75|€949,22|bank_transfer|FR|20%|€158,20
EU271402|06-02-2025|anna.dupont7664@example.it|WID100|3|€276,83|€1004,91|paypal|ES|21%|€174,41
EU268106|06-02-2025|lucia.schmidt6179@example.de|WID172|1|€10,40|€12,58|carte_bancaire|ES|21%|€2,18
EU266923|06-02-2025|marie.rossi4006@example.nl|WID197|4|€284,93|€1367,68|credit_card|FR|20%|€227,95
EU267059|06-02-2025|lucia.rossi2680@example.it|WID188|5|€132,59|€795,51|bank_transfer|FR|20%|€132,59
EU265164|06-02-2025|hans.schmidt3559@example.fr|WID196|4|€194,03|€931,34|bank_transfer|FR|20%|€155,22
EU265431|06-02-2025|carlos.rossi9070@example.de|WID131|3|€146,95|€529,03|bank_transfer|FR|20%|€88,17
EU272034|06-02-2025|carlos.garcia9341@example.it|WID188|4|€66,35|€315,81|credit_card|DE|19%|€50,42
EU269156|06-02-2025|lucia.rossi6622@example.nl|WID180|2|€124,70|€304,26|carte_bancaire|IT|22%|€54,87
EU266402|06-02-2025|carlos.dupont3631@example.fr|WID121|5|€196,74|€1200,14|paypal|IT|22%|€216,42
EU266691|06-02-2025|pierre.de_vries7446@example.nl|WID148|1|€162,74|€198,55|bank_transfer|IT|22%|€35,80
EU267182|06-02-2025|sofia.rossi4307@example.nl|WID133|3|€261,61|€949,63|carte_bancaire|NL|21%|€164,81
EU270983|06-02-2025|hans.rossi5968@example.nl|WID155|2|€234,52|€567,55|credit_card|NL|21%|€98,50
EU265865|06-02-2025|hans.schmidt1646@example.de|WID158|3|€78,95|€286,60|credit_card|ES|21%|€49,74
EU266493|06-02-2025|carlos.rossi5545@example.de|WID101|2|€247,02|€587,92|carte_bancaire|DE|19%|€93,87
EU269683|06-02-2025|marie.schmidt1350@example.de|WID137|4|€234,02|€1142,03|credit_card|IT|22%|€205,94
EU265629|06-02-2025|jan.de_vries1688@example.de|WID141|5|€77,82|€474,70|credit_card|IT|22%|€85,60
EU269199|06-02-2025|marie.rossi7661@example.nl|WID146|2|€77,76|€185,06|bank_transfer|DE|19%|€29,55
EU266734|06-02-2025|pierre.rossi2759@example.es|WID161|1|€285,83|€345,86|bank_transfer|NL|21%|€60,02
EU268291|06-02-2025|carlos.de_vries5024@example.de|WID156|2|€59,38|€144,89|credit_card|IT|22%|€26,13
EU266460|06-02-2025|carlos.dupont4161@example.de|WID170|1|€127,06|€151,20|carte_bancaire|DE|19%|€24,14
EU270346|06-02-2025|pierre.de_vries4207@example.fr|WID185|3|€265,22|€970,71|bank_transfer|IT|22%|€175,05
EU272282|06-02-2025|carlos.de_vries3305@example.de|WID137|3|€212,26|€770,51|credit_card|NL|21%|€133,73
EU271678|06-02-2025|carlos.dupont2450@example.nl|WID101|5|€41,19|€247,17|bank_transfer|FR|20%|€41,19
EU269906|06-02-2025|lucia.dupont7573@example.de|WID189|2|€49,38|€120,49|paypal|IT|22%|€21,73
