order_id|order_date|customer_email|product_code|quantity|unit_price|total_amount|payment_method|country_code|vat_rate|vat_amount
EU395044|23-02-2025|pierre.rossi2510@example.fr|WID171|4|€216,09|€1045,86|credit_card|ES|21%|€181,51
EU390680|23-02-2025|lucia.rossi9063@example.fr|WID188|1|€53,69|€63,89|carte_bancaire|DE|19%|€10,20
EU395908|23-02-2025|lucia.rossi892@example.es|WID107|1|€67,74|€80,61|carte_bancaire|DE|19%|€12,87
EU393598|23-02-2025|marie.dupont4919@example.fr|WID173|3|€294,14|€1067,72|carte_bancaire|ES|21%|€185,31
EU396573|23-02-2025|sofia.de_vries6128@example.it|WID161|4|€132,53|€636,14|carte_bancaire|FR|20%|€106,02
EU397255|23-02-2025|marie.garcia5622@example.it|WID196|5|€152,53|€915,21|carte_bancaire|FR|20%|€152,53
EU392164|23-02-2025|anna.garcia2626@example.fr|WID142|1|€149,33|€182,18|paypal|IT|22%|€32,85
EU394620|23-02-2025|sofia.dupont3490@example.de|WID125|5|€28,49|€169,54|carte_bancaire|DE|19%|€27,07
EU394035|23-02-2025|sofia.rossi283@example.nl|WID131|5|€176,89|€1052,52|carte_bancaire|DE|19%|€168,05
EU391424|23-02-2025|anna.garcia3305@example.nl|WID148|4|€288,12|€1394,52|carte_bancaire|NL|21%|€242,02
EU395273|23-02-2025|marie.garcia5027@example.nl|WID107|2|€121,14|€290,74|credit_card|FR|20%|€48,46
EU391279|23-02-2025|anna.de_vries9762@example.it|WID177|2|€267,09|€651,69|carte_bancaire|IT|22%|€117,52
EU395102|23-02-2025|anna.dupont7515@example.fr|WID150|5|€44,38|€268,48|carte_bancaire|ES|21%|€46,60
EU393887|23-02-2025|hans.garcia7735@example.it|WID125|1|€235,20|€282,24|paypal|FR|20%|€47,04
EU390181|23-02-2025|hans.dupont9189@example.es|WID145|3|€141,53|€509,51|bank_transfer|FR|20%|€84,92
EU396604|23-02-2025|jan.dupont9626@example.nl|WID176|1|€149,76|€179,72|credit_card|FR|20%|€29,95
EU396611|23-02-2025|sofia.rossi1866@example.it|WID189|1|€18,60|€22,13|bank_transfer|DE|19%|€3,53
EU396913|23-02-2025|anna.dupont5327@example.es|WID123|1|€170,36|€202,72|paypal|DE|19%|€32,37
EU391341|23-02-2025|pierre.de_vries9062@example.fr|WID109|4|€170,01|€816,02|paypal|FR|20%|€136,00
EU392313|23-02-2025|jan.dupont2268@example.nl|WID125|4|€256,49|€1241,41|carte_bancaire|ES|21%|€215,45
EU392123|23-02-2025|anna.garcia6649@example.it|WID144|5|€284,26|€1705,57|paypal|FR|20%|€284,26
EU392929|23-02-2025|sofia.garcia4388@example.nl|WID101|3|€66,29|€240,63|carte_bancaire|ES|21%|€41,76
EU394379|23-02-2025|lucia.garcia4286@example.de|WID137|1|€171,55|€207,58|paypal|NL|21%|€36,03
EU390133|23-02-2025|anna.de_vries5205@example.it|WID114|4|€129,60|€627,25|credit_card|ES|21%|€108,86
EU395654|23-02-2025|sofia.garcia4435@example.fr|WID147|2|€209,10|€501,83|bank_transfer|FR|20%|€83,64
EU390379|23-02-2025|pierre.de_vries1881@example.fr|WID103|5|€272,70|€1649,82|paypal|ES|21%|€286,33
EU391054|23-02-2025|lucia.garcia7739@example.de|WID102|4|€24,68|€120,46|bank_transfer|IT|22%|€21,72
EU393879|23-02-2025|lucia.rossi6516@example.nl|WID128|5|€176,04|€1047,42|carte_bancaire|DE|19%|€167,23
EU390155|23-02-2025|lucia.garcia2305@example.it|WID106|4|€14,80|€70,44|bank_transfer|DE|19%|€11,25
EU390956|23-02-2025|sofia.dupont2243@example.nl|WID117|5|€299,79|€1783,74|paypal|DE|19%|€284,80
EU391460|23-02-2025|sofia.garcia2175@example.es|WID114|4|€77,09|€366,96|carte_bancaire|DE|19%|€58,59
EU395215|23-02-2025|anna.dupont1867@example.nl|WID184|5|€154,62|€920,01|paypal|DE|19%|€146,89
EU396524|23-02-2025|carlos.rossi9378@example.fr|WID194|3|€192,24|€686,30|paypal|DE|19%|€109,58
EU393193|23-02-2025|jan.dupont7747@example.de|WID134|1|€13,14|€15,90|carte_bancaire|NL|21%|€2,76
EU393825|23-02-2025|marie.dupont1529@example.nl|WID151|2|€9,12|€21,88|paypal|FR|20%|€3,65
EU396489|23-02-2025|lucia.de_vries3161@example.de|WID112|4|€285,52|€1359,07|paypal|DE|19%|€216,99
EU392974|23-02-2025|anna.rossi5743@example.es|WID170|1|€195,35|€236,37|paypal|ES|21%|€41,02
EU395661|23-02-2025|lucia.dupont2768@example.fr|WID174|5|€176,65|€1068,74|credit_card|ES|21%|€185,48
EU391896|23-02-2025|sofia.rossi6308@example.fr|WID102|2|€160,64|€388,76|paypal|NL|21%|€67,47
EU397050|23-02-2025|marie.garcia7964@example.de|WID159|1|€7,08|€8,49|carte_bancaire|FR|20%|€1,42
EU394996|23-02-2025|jan.de_vries791@example.de|WID109|3|€44,90|€162,98|credit_card|NL|21%|€28,28
EU392835|23-02-2025|anna.dupont9890@example.it|WID182|5|€67,16|€406,32|carte_bancaire|NL|21%|€70,52
EU394612|23-02-2025|jan.schmidt1305@example.nl|WID185|5|€259,05|€1554,32|paypal|FR|20%|€259,05
EU392239|23-02-2025|lucia.rossi9183@example.fr|WID109|2|€85,84|€204,29|bank_transfer|DE|19%|€32,62
EU393210|23-02-2025|hans.schmidt3489@example.fr|WID112|1|€262,87|€315,44|bank_transfer|FR|20%|€52,57
EU397368|23-02-2025|anna.de_vries3698@example.fr|WID189|5|€38,60|€233,51|paypal|NL|21%|€40,53
EU395983|23-02-2025|hans.dupont186@example.it|WID133|1|€267,90|€324,15|carte_bancaire|NL|21%|€56,26
EU395662|23-02-2025|sofia.garcia3408@example.it|WID199|4|€113,67|€545,62|credit_card|FR|20%|€90,94
EU395925|23-02-2025|carlos.de_vries3350@example.nl|WID182|1|€67,19|€81,30|bank_transfer|NL|21%|€14,11
EU397407|23-02-2025|carlos.de_vries1760@example.nl|WID155|4|€110,32|€525,14|paypal|DE|19%|€83,85
EU396883|23-02-2025|sofia.rossi83@example.fr|WID155|3|€10,17|€36,32|paypal|DE|19%|€5,80
EU393110|23-02-2025|anna.schmidt1129@example.de|WID100|3|€63,86|€227,97|paypal|DE|19%|€36,40
EU390570|23-02-2025|sofia.rossi3347@example.de|WID104|1|€47,36|€57,78|credit_card|IT|22%|€10,42
EU390752|23-02-2025|jan.schmidt5935@example.nl|WID121|1|€258,06|€309,67|carte_bancaire|FR|20%|€51,61
EU391234|23-02-2025|sofia.schmidt4634@example.it|WID129|1|€283,28|€339,94|carte_bancaire|FR|20%|€56,66
EU394310|23-02-2025|hans.schmidt9878@example.de|WID155|3|€295,56|€1064,02|credit_card|FR|20%|€177,34
EU395268|23-02-2025|carlos.garcia7500@example.es|WID182|3|€107,60|€393,81|credit_card|IT|22%|€71,02
EU394901|23-02-2025|lucia.garcia4582@example.it|WID132|3|€21,30|€77,33|bank_transfer|ES|21%|€13,42
EU395264|23-02-2025|hans.schmidt2791@example.nl|WID127|3|€276,13|€1002,36|paypal|ES|21%|€173,96
EU390309|23-02-2025|pierre.rossi9480@example.nl|WID104|3|€244,11|€886,12|credit_card|NL|21%|€153,79
EU393344|23-02-2025|pierre.rossi5675@example.fr|WID173|2|€240,77|€577,85|carte_bancaire|FR|20%|€96,31
EU390293|23-02-2025|jan.de_vries5829@example.it|WID150|5|€134,84|€815,78|paypal|ES|21%|€141,58
EU396011|23-02-2025|jan.rossi5261@example.nl|WID113|3|€118,24|€429,21|bank_transfer|NL|21%|€74,49
EU393597|23-02-2025|hans.rossi9493@example.fr|WID180|5|€278,31|€1697,67|bank_transfer|IT|22%|€306,14
EU393632|23-02-2025|pierre.de_vries3342@example.de|WID183|3|€206,41|€736,89|bank_transfer|DE|19%|€117,65
EU390564|23-02-2025|jan.schmidt9821@example.de|WID103|1|€159,75|€193,29|bank_transfer|NL|21%|€33,55
EU396229|23-02-2025|pierre.rossi8292@example.fr|WID157|1|€225,94|€273,39|carte_bancaire|ES|21%|€47,45
EU392680|23-02-2025|anna.dupont1724@example.fr|WID172|4|€53,99|€261,33|carte_bancaire|ES|21%|€45,35
EU390169|23-02-2025|carlos.dupont8010@example.it|WID108|3|€78,44|€280,04|carte_bancaire|DE|19%|€44,71
EU391213|23-02-2025|lucia.rossi7776@example.es|WID104|2|€36,13|€86,71|paypal|FR|20%|€14,45
EU392908|23-02-2025|carlos.rossi9601@example.de|WID135|4|€147,95|€710,17|carte_bancaire|FR|20%|€118,36
EU394403|23-02-2025|marie.dupont5505@example.it|WID107|1|€158,72|€192,05|carte_bancaire|NL|21%|€33,33
EU390549|23-02-2025|jan.garcia3042@example.nl|WID104|1|€84,71|€103,35|carte_bancaire|IT|22%|€18,64
EU396673|23-02-2025|jan.garcia2379@example.fr|WID155|2|€13,86|€33,27|carte_bancaire|FR|20%|€5,54
EU393487|23-02-2025|carlos.garcia3128@example.fr|WID125|3|€203,93|€728,02|carte_bancaire|DE|19%|€116,24
EU396499|23-02-2025|marie.rossi2039@example.it|WID109|5|€25,39|€154,90|carte_bancaire|IT|22%|€27,93
EU395756|23-02-2025|pierre.de_vries1247@example.de|WID132|1|€39,15|€46,98|carte_bancaire|FR|20%|€7,83
EU396685|23-02-2025|lucia.dupont7287@example.es|WID105|5|€262,80|€1589,95|bank_transfer|NL|21%|€275,94
EU393996|23-02-2025|hans.schmidt9621@example.nl|WID155|3|€54,70|€198,55|paypal|ES|21%|€34,46
EU395279|23-02-2025|marie.de_vries7814@example.it|WID149|4|€116,15|€566,83|credit_card|IT|22%|€102,22
EU394142|23-02-2025|hans.de_vries836@example.de|WID163|2|€129,48|€310,75|bank_transfer|FR|20%|€51,79
EU394615|23-02-2025|hans.de_vries439@example.it|WID183|2|€228,30|€552,48|paypal|ES|21%|€95,89
EU395775|23-02-2025|pierre.garcia5859@example.fr|WID169|4|€40,24|€193,13|credit_card|FR|20%|€32,19
EU390878|23-02-2025|pierre.de_vries3832@example.es|WID113|2|€65,33|€156,79|credit_card|FR|20%|€26,13
EU395864|23-02-2025|jan.garcia9781@example.nl|WID185|4|€67,38|€326,11|carte_bancaire|NL|21%|€56,60
EU395641|23-02-2025|carlos.rossi978@example.it|WID191|3|€241,30|€868,68|credit_card|FR|20%|€144,78
EU392947|23-02-2025|jan.schmidt8300@example.it|WID112|4|€173,62|€847,24|paypal|IT|22%|€152,78
EU390949|23-02-2025|hans.rossi5804@example.it|WID101|2|€167,27|€398,10|bank_transfer|DE|19%|€63,56
EU395799|23-02-2025|anna.rossi8200@example.nl|WID158|1|€194,46|€231,40|paypal|DE|19%|€36,95
EU393231|23-02-2025|sofia.schmidt763@example.es|WID139|2|€25,68|€61,12|carte_bancaire|DE|19%|€9,76
EU396609|23-02-2025|carlos.schmidt173@example.es|WID147|1|€138,13|€164,38|carte_bancaire|DE|19%|€26,24
EU396875|23-02-2025|sofia.dupont3579@example.nl|WID121|4|€232,44|€1125,03|credit_card|ES|21%|€195,25
EU393453|23-02-2025|lucia.garcia7066@example.es|WID151|4|€251,03|€1194,88|paypal|DE|19%|€190,78
EU392765|23-02-2025|lucia.rossi2645@example.es|WID102|1|€202,80|€247,42|paypal|IT|22%|€44,62
EU390622|23-02-2025|hans.dupont4179@example.de|WID108|2|€235,99|€571,09|paypal|ES|21%|€99,12
EU392176|23-02-2025|lucia.rossi4030@example.es|WID172|4|€150,93|€736,56|carte_bancaire|IT|22%|€132,82
EU394557|23-02-2025|pierre.rossi3280@example.it|WID147|1|€113,92|€135,56|bank_transfer|DE|19%|€21,64
EU390235|23-02-2025|anna.dupont5047@example.de|WID134|3|€279,07|€1013,04|credit_card|ES|21%|€175,82
EU390785|23-02-2025|anna.dupont94@example.nl|WID177|4|€213,67|€1017,08|paypal|DE|19%|€162,39
EU392131|23-02-2025|anna.garcia7365@example.es|WID121|2|€259,88|€618,52|carte_bancaire|DE|19%|€98,76
EU395913|23-02-2025|sofia.schmidt6231@example.it|WID128|4|€110,68|€526,84|carte_bancaire|DE|19%|€84,12
EU394772|23-02-2025|anna.schmidt8914@example.fr|WID169|3|€62,01|€221,38|bank_transfer|DE|19%|€35,35
EU393118|23-02-2025|jan.garcia5925@example.es|WID178|4|€256,88|€1222,74|credit_card|DE|19%|€195,23
EU392246|23-02-2025|jan.de_vries9370@example.es|WID148|1|€84,26|€100,27|paypal|DE|19%|€16,01
EU396034|23-02-2025|marie.dupont3464@example.nl|WID150|5|€20,42|€123,53|bank_transfer|NL|21%|€21,44
EU393439|23-02-2025|anna.dupont5176@example.fr|WID184|4|€72,08|€348,88|bank_transfer|ES|21%|€60,55
EU394737|23-02-2025|jan.garcia3015@example.fr|WID100|4|€254,42|€1231,38|carte_bancaire|NL|21%|€213,71
EU395157|23-02-2025|lucia.garcia3839@example.de|WID123|4|€83,48|€407,39|bank_transfer|IT|22%|€73,46
EU396960|23-02-2025|sofia.de_vries2383@example.es|WID149|4|€169,64|€827,85|paypal|IT|22%|€149,28
EU396720|23-02-2025|lucia.dupont6269@example.fr|WID186|5|€28,55|€169,88|credit_card|DE|19%|€27,12
EU393582|23-02-2025|lucia.de_vries6105@example.nl|WID122|3|€298,13|€1064,32|credit_card|DE|19%|€169,93
EU397023|23-02-2025|jan.rossi2207@example.nl|WID191|1|€239,28|€289,53|bank_transfer|ES|21%|€50,25
EU391616|23-02-2025|hans.dupont7752@example.nl|WID160|3|€177,82|€650,83|bank_transfer|IT|22%|€117,36
EU395193|23-02-2025|sofia.dupont7941@example.de|WID163|5|€278,31|€1697,69|bank_transfer|IT|22%|€306,14
EU391809|23-02-2025|carlos.dupont2261@example.nl|WID153|3|€22,06|€78,76|bank_transfer|DE|19%|€12,58
EU390306|23-02-2025|hans.rossi3735@example.de|WID117|4|€206,63|€991,83|credit_card|FR|20%|€165,30
EU393010|23-02-2025|pierre.de_vries9637@example.it|WID122|3|€136,77|€496,47|credit_card|ES|21%|€86,16
EU391378|23-02-2025|marie.schmidt7571@example.de|WID153|1|€21,95|€26,55|paypal|NL|21%|€4,61
EU390346|23-02-2025|hans.de_vries3993@example.es|WID123|5|€35,78|€214,68|bank_transfer|FR|20%|€35,78
EU394550|23-02-2025|lucia.dupont8133@example.nl|WID149|1|€186,16|€225,25|paypal|ES|21%|€39,09
EU396736|23-02-2025|hans.rossi9378@example.it|WID185|4|€194,26|€948,00|paypal|IT|22%|€170,95
EU396284|23-02-2025|anna.rossi4027@example.nl|WID173|3|€39,44|€141,99|paypal|FR|20%|€23,66
EU392544|23-02-2025|pierre.dupont3998@example.de|WID163|4|€11,69|€55,66|carte_bancaire|DE|19%|€8,89
EU391049|23-02-2025|jan.schmidt4681@example.fr|WID164|4|€136,52|€660,75|paypal|NL|21%|€114,68
EU397012|23-02-2025|anna.de_vries9929@example.fr|WID156|3|€18,59|€66,37|carte_bancaire|DE|19%|€10,60
EU395635|23-02-2025|carlos.garcia1866@example.fr|WID167|4|€161,59|€782,10|credit_card|ES|21%|€135,74
EU396858|23-02-2025|anna.dupont7359@example.es|WID150|3|€78,73|€281,07|carte_bancaire|DE|19%|€44,88
EU393547|23-02-2025|carlos.rossi2591@example.fr|WID110|4|€284,63|€1377,60|carte_bancaire|NL|21%|€239,09
EU393818|23-02-2025|lucia.schmidt8181@example.es|WID116|4|€90,24|€436,77|credit_card|NL|21%|€75,80
EU390110|23-02-2025|anna.dupont3911@example.nl|WID138|2|€61,95|€149,91|credit_card|NL|21%|€26,02
EU393678|23-02-2025|pierre.dupont3953@example.fr|WID147|4|€277,80|€1333,42|carte_bancaire|FR|20%|€222,24
EU396254|23-02-2025|sofia.rossi1311@example.nl|WID115|4|€182,60|€883,80|bank_transfer|NL|21%|€153,39
EU397120|23-02-2025|anna.dupont757@example.nl|WID177|2|€255,52|€618,36|paypal|NL|21%|€107,32
EU395397|23-02-2025|lucia.garcia1207@example.it|WID181|3|€221,84|€805,27|paypal|NL|21%|€139,76
EU392675|23-02-2025|lucia.rossi7086@example.de|WID195|5|€218,86|€1313,15|carte_bancaire|FR|20%|€218,86
EU392518|23-02-2025|carlos.rossi4216@example.de|WID142|3|€5,96|€21,28|bank_transfer|DE|19%|€3,40
EU393980|23-02-2025|carlos.de_vries2839@example.es|WID131|2|€80,97|€192,70|paypal|DE|19%|€30,77
EU395612|23-02-2025|pierre.schmidt9998@example.it|WID167|3|€229,19|€838,83|carte_bancaire|IT|22%|€151,27
EU391399|23-02-2025|lucia.dupont3774@example.fr|WID154|1|€166,99|€202,06|paypal|ES|21%|€35,07
EU394384|23-02-2025|sofia.schmidt562@example.it|WID142|5|€275,41|€1652,47|carte_bancaire|FR|20%|€275,41
EU394560|23-02-2025|hans.dupont2396@example.es|WID111|1|€83,09|€98,88|bank_transfer|DE|19%|€15,79
EU392561|23-02-2025|jan.schmidt8782@example.fr|WID197|3|€132,86|€478,31|bank_transfer|FR|20%|€79,72
EU395478|23-02-2025|anna.de_vries2569@example.fr|WID101|3|€22,49|€82,31|carte_bancaire|IT|22%|€14,84
EU390356|23-02-2025|lucia.rossi2009@example.it|WID191|5|€109,72|€669,30|carte_bancaire|IT|22%|€120,69
EU394594|23-02-2025|carlos.rossi5099@example.es|WID183|1|€27,13|€32,56|paypal|FR|20%|€5,43
EU393428|23-02-2025|carlos.rossi9980@example.fr|WID108|3|€52,40|€188,65|credit_card|FR|20%|€31,44
EU390591|23-02-2025|hans.schmidt8463@example.de|WID145|2|€146,59|€351,81|credit_card|FR|20%|€58,63
EU394801|23-02-2025|anna.garcia6941@example.de|WID104|2|€290,13|€696,32|credit_card|FR|20%|€116,05
