order_number	created_at	customer_info	line_items	payment_details	device_type
C174312	2025-01-17T04:10:38Z	"{""email"":""suzuki6482@example.kr"",""country"":""KR"",""phone"":""+82-10-1312-2953""}"	"[{""sku"":""WIDGET-100"",""qty"":2,""price"":123299}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":246598,""status"":""completed""}"	mobile
C178949	2025-01-17T05:05:34Z	"{""email"":""suzuki6042@example.kr"",""country"":""KR"",""phone"":""+82-10-6362-5249""}"	"[{""sku"":""WIDGET-345"",""qty"":3,""price"":148420}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":445260,""status"":""settled""}"	mobile
C171998	2025-01-17T04:55:31Z	"{""email"":""park1085@example.kr"",""country"":""KR"",""phone"":""+82-10-2493-9872""}"	"[{""sku"":""WIDGET-307"",""qty"":2,""price"":151835}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":303670,""status"":""completed""}"	tablet
C169701	2025-01-17T19:40:02Z	"{""email"":""lee6674@example.kr"",""country"":""KR"",""phone"":""+82-10-3665-3335""}"	"[{""sku"":""WIDGET-370"",""qty"":2,""price"":46856}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":93712,""status"":""pending""}"	desktop
C171668	2025-01-17T12:05:36Z	"{""email"":""park3482@example.jp"",""country"":""JP"",""phone"":""+81-90-5067-5102""}"	"[{""sku"":""WIDGET-318"",""qty"":2,""price"":18272}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":36544,""status"":""settled""}"	tablet
C169274	2025-01-17T01:55:50Z	"{""email"":""kim9942@example.jp"",""country"":""JP"",""phone"":""+81-90-1708-7576""}"	"[{""sku"":""WIDGET-201"",""qty"":1,""price"":23820}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":23820,""status"":""settled""}"	desktop
C173387	2025-01-17T06:50:52Z	"{""email"":""tanaka8359@example.jp"",""country"":""JP"",""phone"":""+81-90-4064-2249""}"	"[{""sku"":""WIDGET-211"",""qty"":3,""price"":14215}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":42645,""status"":""settled""}"	tablet
C173212	2025-01-17T05:10:16Z	"{""email"":""yamada1188@example.jp"",""country"":""JP"",""phone"":""+81-90-2712-2333""}"	"[{""sku"":""WIDGET-361"",""qty"":3,""price"":9694}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":29082,""status"":""completed""}"	desktop
C177525	2025-01-17T03:55:15Z	"{""email"":""suzuki9609@example.kr"",""country"":""KR""}"	"[{""sku"":""WIDGET-221"",""qty"":3,""price"":14209}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":42627,""status"":""settled""}"	mobile
C178859	2025-01-17T11:05:42Z	"{""email"":""yamada4124@example.kr"",""country"":""KR"",""phone"":""+82-10-7777-7879""}"	"[{""sku"":""WIDGET-296"",""qty"":5,""price"":181478}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":907390,""status"":""completed""}"	desktop
