order_number	created_at	customer_info	line_items	payment_details	device_type
C778827	2025-03-15T20:55:25Z	"{""email"":""yamada5295@example.jp"",""country"":""JP"",""phone"":""+81-90-3812-9167""}"	"[{""sku"":""WIDGET-345"",""qty"":5,""price"":9093}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":45465,""status"":""settled""}"	tablet
C781407	2025-03-15T18:30:04Z	"{""email"":""tanaka3107@example.jp"",""country"":""JP"",""phone"":""+81-90-3753-1430""}"	"[{""sku"":""WIDGET-202"",""qty"":4,""price"":5110}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":20440,""status"":""settled""}"	mobile
C777790	2025-03-15T14:45:45Z	"{""email"":""tanaka7258@example.kr"",""country"":""KR"",""phone"":""+82-10-4553-3827""}"	"[{""sku"":""WIDGET-337"",""qty"":5,""price"":231652}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":1158260,""status"":""pending""}"	tablet
C772129	2025-03-15T11:00:24Z	"{""email"":""suzuki9052@example.kr"",""country"":""KR"",""phone"":""+82-10-4716-5049""}"	"[{""sku"":""WIDGET-273"",""qty"":3,""price"":82723}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":248169,""status"":""settled""}"	tablet
C778873	2025-03-15T05:45:38Z	"{""email"":""suzuki1618@example.kr"",""country"":""KR"",""phone"":""+82-10-1546-5024""}"	"[{""sku"":""WIDGET-147"",""qty"":5,""price"":34153}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":170765,""status"":""pending""}"	tablet
C772152	2025-03-15T20:40:40Z	"{""email"":""park290@example.kr"",""country"":""KR"",""phone"":""+82-10-6887-1794""}"	"[{""sku"":""WIDGET-226"",""qty"":5,""price"":62713}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":313565,""status"":""completed""}"	tablet
C779984	2025-03-15T01:50:43Z	"{""email"":""yamada4502@example.jp"",""country"":""JP"",""phone"":""+81-90-6519-1537""}"	"[{""sku"":""WIDGET-230"",""qty"":5,""price"":20215}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":101075,""status"":""settled""}"	tablet
C773384	2025-03-15T08:45:27Z	"{""email"":""lee6533@example.kr"",""country"":""KR"",""phone"":""+82-10-5740-1216""}"	"[{""sku"":""WIDGET-321"",""qty"":1,""price"":185954}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":185954,""status"":""settled""}"	tablet
C778398	2025-03-15T07:00:42Z	"{""email"":""park5926@example.jp"",""country"":""JP"",""phone"":""+81-90-6099-6083""}"	"[{""sku"":""WIDGET-132"",""qty"":1,""price"":18326}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":18326,""status"":""completed""}"	tablet
C777075	2025-03-15T03:45:43Z	"{""email"":""kim4078@example.kr"",""country"":""KR"",""phone"":""+82-10-4860-6304""}"	"[{""sku"":""WIDGET-337"",""qty"":3,""price"":47393}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":142179,""status"":""completed""}"	mobile
