order_number	created_at	customer_info	line_items	payment_details	device_type
C378170	2025-02-05T19:00:36Z	"{""email"":""suzuki6551@example.jp"",""country"":""JP"",""phone"":""+81-90-4184-8523""}"	"[{""sku"":""WIDGET-239"",""qty"":3,""price"":9858}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":29574,""status"":""settled""}"	desktop
C376428	2025-02-05T05:00:11Z	"{""email"":""tanaka5797@example.kr"",""country"":""KR"",""phone"":""+82-10-2440-1366""}"	"[{""sku"":""WIDGET-246"",""qty"":4,""price"":144420}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":577680,""status"":""settled""}"	mobile
C370313	2025-02-05T14:20:46Z	"{""email"":""kim569@example.kr"",""country"":""KR"",""phone"":""+82-10-5114-1210""}"	"[{""sku"":""WIDGET-185"",""qty"":3,""price"":193021}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":579063,""status"":""settled""}"	tablet
C369918	2025-02-05T23:25:47Z	"{""email"":""lee6499@example.jp"",""country"":""JP"",""phone"":""+81-90-3056-7540""}"	"[{""sku"":""WIDGET-114"",""qty"":1,""price"":4874}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":4874,""status"":""settled""}"	mobile
C378986	2025-02-05T21:10:24Z	"{""email"":""suzuki2173@example.jp"",""country"":""JP"",""phone"":""+81-90-1704-3685""}"	"[{""sku"":""WIDGET-360"",""qty"":2,""price"":15999}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":31998,""status"":""settled""}"	desktop
C371560	2025-02-05T16:50:38Z	"{""email"":""suzuki7534@example.jp"",""country"":""JP"",""phone"":""+81-90-8182-5698""}"	"[{""sku"":""WIDGET-348"",""qty"":3,""price"":7601}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":22803,""status"":""settled""}"	mobile
C376490	2025-02-05T11:00:39Z	"{""email"":""park2422@example.jp"",""country"":""JP"",""phone"":""+81-90-3930-2803""}"	"[{""sku"":""WIDGET-192"",""qty"":5,""price"":21199}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":105995,""status"":""completed""}"	desktop
C379716	2025-02-05T12:00:39Z	"{""email"":""tanaka8436@example.jp"",""country"":""JP"",""phone"":""+81-90-4525-8797""}"	"[{""sku"":""WIDGET-382"",""qty"":2,""price"":21866}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":43732,""status"":""settled""}"	mobile
C379329	2025-02-05T08:10:44Z	"{""email"":""yamada5508@example.jp"",""country"":""JP"",""phone"":""+81-90-5769-5375""}"	"[{""sku"":""WIDGET-323"",""qty"":5,""price"":19884}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":99420,""status"":""settled""}"	tablet
C371041	2025-02-05T06:55:39Z	"{""email"":""tanaka8415@example.kr"",""country"":""KR"",""phone"":""+82-10-2635-8189""}"	"[{""sku"":""WIDGET-290"",""qty"":2,""price"":201965}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":403930,""status"":""completed""}"	mobile
C380114	2025-02-05T20:40:33Z	"{""email"":""tanaka6529@example.kr"",""country"":""KR"",""phone"":""+82-10-1276-4758""}"	"[{""sku"":""WIDGET-223"",""qty"":3,""price"":51963}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":155889,""status"":""settled""}"	desktop
