order_number	created_at	customer_info	line_items	payment_details	device_type
C665850	2025-03-05T16:25:36Z	"{""email"":""park3460@example.kr"",""country"":""KR"",""phone"":""+82-10-2737-9763""}"	"[{""sku"":""WIDGET-358"",""qty"":2,""price"":213226}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":426452,""status"":""settled""}"	desktop
C671644	2025-03-05T09:15:07Z	"{""email"":""park9718@example.jp"",""country"":""JP"",""phone"":""+81-90-6769-1910""}"	"[{""sku"":""WIDGET-197"",""qty"":2,""price"":2420}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":4840,""status"":""pending""}"	desktop
C666042	2025-03-05T13:25:23Z	"{""email"":""tanaka3912@example.jp"",""country"":""JP"",""phone"":""+81-90-6433-9084""}"	"[{""sku"":""WIDGET-182"",""qty"":3,""price"":7440}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":22320,""status"":""settled""}"	desktop
C667854	2025-03-05T16:05:25Z	"{""email"":""park6043@example.kr"",""country"":""KR"",""phone"":""+82-10-8187-3434""}"	"[{""sku"":""WIDGET-277"",""qty"":1,""price"":241610}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":241610,""status"":""completed""}"	tablet
C667438	2025-03-05T03:40:34Z	"{""email"":""suzuki4815@example.kr"",""country"":""KR"",""phone"":""+82-10-9091-9543""}"	"[{""sku"":""WIDGET-146"",""qty"":5,""price"":46419}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":232095,""status"":""settled""}"	tablet
C670646	2025-03-05T16:20:28Z	"{""email"":""suzuki407@example.jp"",""country"":""JP"",""phone"":""+81-90-4727-1244""}"	"[{""sku"":""WIDGET-314"",""qty"":5,""price"":2296}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":11480,""status"":""pending""}"	mobile
C674026	2025-03-05T21:35:42Z	"{""email"":""yamada937@example.jp"",""country"":""JP"",""phone"":""+81-90-7583-5580""}"	"[{""sku"":""WIDGET-380"",""qty"":2,""price"":4647}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":9294,""status"":""settled""}"	tablet
C671085	2025-03-05T04:25:09Z	"{""email"":""yamada7901@example.jp"",""country"":""JP"",""phone"":""+81-90-5403-5955""}"	"[{""sku"":""WIDGET-368"",""qty"":5,""price"":22977}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":114885,""status"":""settled""}"	tablet
C667721	2025-03-05T02:40:21Z	"{""email"":""lee9437@example.kr"",""country"":""KR"",""phone"":""+82-10-6781-3878""}"	"[{""sku"":""WIDGET-211"",""qty"":3,""price"":23173}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":69519,""status"":""settled""}"	desktop
C674222	2025-03-05T16:50:28Z	"{""email"":""yamada7578@example.kr"",""country"":""KR"",""phone"":""+82-10-1438-9020""}"	"[{""sku"":""WIDGET-135"",""qty"":1,""price"":150631}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":150631,""status"":""settled""}"	mobile
C666555	2025-03-05T18:40:43Z	"{""email"":""kim3048@example.kr"",""country"":""KR"",""phone"":""+82-10-6964-9186""}"	"[{""sku"":""WIDGET-202"",""qty"":3,""price"":115383}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":346149,""status"":""settled""}"	desktop
C673144	2025-03-05T17:30:45Z	"{""email"":""suzuki1104@example.kr"",""country"":""KR"",""phone"":""+82-10-6402-3718""}"	"[{""sku"":""WIDGET-108"",""qty"":4,""price"":174945}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":699780,""status"":""settled""}"	desktop
C669791	2025-03-05T00:40:39Z	"{""email"":""tanaka3459@example.kr"",""country"":""KR"",""phone"":""+82-10-6455-2562""}"	"[{""sku"":""WIDGET-148"",""qty"":1,""price"":105882}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":105882,""status"":""completed""}"	mobile
C667443	2025-03-05T03:05:35Z	"{""email"":""tanaka6862@example.jp"",""country"":""JP"",""phone"":""+81-90-4877-1925""}"	"[{""sku"":""WIDGET-176"",""qty"":4,""price"":9626}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":38504,""status"":""completed""}"	desktop
C668992	2025-03-05T08:05:10Z	"{""email"":""tanaka2315@example.jp"",""country"":""JP"",""phone"":""+81-90-6878-4845""}"	"[{""sku"":""WIDGET-162"",""qty"":4,""price"":13544}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":54176,""status"":""completed""}"	desktop
C670872	2025-03-05T13:05:37Z	"{""email"":""kim5802@example.jp"",""country"":""JP"",""phone"":""+81-90-2873-6733""}"	"[{""sku"":""WIDGET-309"",""qty"":4,""price"":7722}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":30888,""status"":""completed""}"	mobile
C667051	2025-03-05T04:00:56Z	"{""email"":""tanaka6105@example.kr"",""country"":""KR"",""phone"":""+82-10-4097-1269""}"	"[{""sku"":""WIDGET-131"",""qty"":5,""price"":104757}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":523785,""status"":""completed""}"	tablet
C673709	2025-03-05T06:00:55Z	"{""email"":""tanaka4918@example.jp"",""country"":""JP"",""phone"":""+81-90-9739-6394""}"	"[{""sku"":""WIDGET-337"",""qty"":2,""price"":5358}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":10716,""status"":""settled""}"	tablet
C669217	2025-03-05T05:30:46Z	"{""email"":""lee1475@example.jp"",""country"":""JP"",""phone"":""+81-90-9706-6060""}"	"[{""sku"":""WIDGET-183"",""qty"":4,""price"":16539}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":66156,""status"":""settled""}"	mobile
C670473	2025-03-05T12:05:18Z	"{""email"":""yamada191@example.kr"",""country"":""KR"",""phone"":""+82-10-1569-8531""}"	"[{""sku"":""WIDGET-213"",""qty"":2,""price"":116536}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":233072,""status"":""completed""}"	tablet
C670945	2025-03-05T17:15:53Z	"{""email"":""suzuki3326@example.jp"",""country"":""JP"",""phone"":""+81-90-5861-7930""}"	"[{""sku"":""WIDGET-102"",""qty"":2,""price"":26392}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":52784,""status"":""settled""}"	tablet
C666214	2025-03-05T13:05:49Z	"{""email"":""tanaka9210@example.kr"",""country"":""KR"",""phone"":""+82-10-5604-1358""}"	"[{""sku"":""WIDGET-322"",""qty"":4,""price"":168885}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":675540,""status"":""settled""}"	mobile
C675169	2025-03-05T06:15:46Z	"{""email"":""park1545@example.kr"",""country"":""KR"",""phone"":""+82-10-1663-4755""}"	"[{""sku"":""WIDGET-231"",""qty"":3,""price"":76420}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":229260,""status"":""settled""}"	mobile
C666907	2025-03-05T10:45:28Z	"{""email"":""lee2461@example.jp"",""country"":""JP"",""phone"":""+81-90-9256-8099""}"	"[{""sku"":""WIDGET-309"",""qty"":5,""price"":12360}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":61800,""status"":""completed""}"	desktop
C667680	2025-03-05T23:35:40Z	"{""email"":""suzuki3190@example.kr"",""country"":""KR"",""phone"":""+82-10-6515-3709""}"	"[{""sku"":""WIDGET-362"",""qty"":3,""price"":62463}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":187389,""status"":""pending""}"	desktop
C674503	2025-03-05T05:50:42Z	"{""email"":""kim5133@example.kr"",""country"":""KR"",""phone"":""+82-10-4602-5935""}"	"[{""sku"":""WIDGET-292"",""qty"":2,""price"":19440}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":38880,""status"":""settled""}"	mobile
C670861	2025-03-05T06:30:43Z	"{""email"":""yamada8456@example.kr"",""country"":""KR"",""phone"":""+82-10-8521-6718""}"	"[{""sku"":""WIDGET-386"",""qty"":4,""price"":142807}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":571228,""status"":""completed""}"	tablet
C670038	2025-03-05T09:55:01Z	"{""email"":""suzuki5135@example.kr"",""country"":""KR"",""phone"":""+82-10-1978-9607""}"	"[{""sku"":""WIDGET-116"",""qty"":3,""price"":165481}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":496443,""status"":""settled""}"	tablet
C672088	2025-03-05T17:40:30Z	"{""email"":""yamada924@example.jp"",""country"":""JP"",""phone"":""+81-90-6948-2367""}"	"[{""sku"":""WIDGET-157"",""qty"":1,""price"":24568}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":24568,""status"":""settled""}"	desktop
C667084	2025-03-05T00:05:41Z	"{""email"":""tanaka2356@example.kr"",""country"":""KR"",""phone"":""+82-10-3235-7396""}"	"[{""sku"":""WIDGET-132"",""qty"":2,""price"":199390}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":398780,""status"":""settled""}"	mobile
C665398	2025-03-05T05:10:26Z	"{""email"":""yamada8774@example.kr"",""country"":""KR"",""phone"":""+82-10-4239-3817""}"	"[{""sku"":""WIDGET-159"",""qty"":4,""price"":138325}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":553300,""status"":""settled""}"	mobile
C668409	2025-03-05T12:55:59Z	"{""email"":""park2294@example.jp"",""country"":""JP"",""phone"":""+81-90-6084-5719""}"	"[{""sku"":""WIDGET-191"",""qty"":5,""price"":7952}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":39760,""status"":""settled""}"	mobile
C671789	2025-03-05T16:50:48Z	"{""email"":""suzuki1073@example.jp"",""country"":""JP"",""phone"":""+81-90-8976-8799""}"	"[{""sku"":""WIDGET-215"",""qty"":2,""price"":5185}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":10370,""status"":""settled""}"	mobile
C668523	2025-03-05T01:05:26Z	"{""email"":""kim8716@example.kr"",""country"":""KR"",""phone"":""+82-10-6549-6769""}"	"[{""sku"":""WIDGET-391"",""qty"":2,""price"":117111}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":234222,""status"":""completed""}"	tablet
