order_number	created_at	customer_info	line_items	payment_details	device_type
C285898	2025-01-28T21:15:39Z	"{""email"":""kim6329@example.kr"",""country"":""KR"",""phone"":""+82-10-5624-2922""}"	"[{""sku"":""WIDGET-297"",""qty"":4,""price"":25605}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":102420,""status"":""settled""}"	desktop
C289213	2025-01-28T00:25:26Z	"{""email"":""yamada5214@example.jp"",""country"":""JP"",""phone"":""+81-90-5920-3138""}"	"[{""sku"":""WIDGET-384"",""qty"":4,""price"":29617}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":118468,""status"":""settled""}"	mobile
C292132	2025-01-28T17:05:25Z	"{""email"":""suzuki6885@example.kr"",""country"":""KR"",""phone"":""+82-10-2933-5252""}"	"[{""sku"":""WIDGET-208"",""qty"":2,""price"":205027}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":410054,""status"":""completed""}"	desktop
C289072	2025-01-28T21:10:28Z	"{""email"":""kim3756@example.jp"",""country"":""JP"",""phone"":""+81-90-3358-2122""}"	"[{""sku"":""WIDGET-344"",""qty"":3,""price"":12416}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":37248,""status"":""completed""}"	desktop
C287460	2025-01-28T00:25:15Z	"{""email"":""lee8752@example.kr"",""country"":""KR"",""phone"":""+82-10-1667-6476""}"	"[{""sku"":""WIDGET-192"",""qty"":3,""price"":113727}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":341181,""status"":""completed""}"	mobile
C289642	2025-01-28T19:55:25Z	"{""email"":""suzuki6996@example.jp"",""country"":""JP"",""phone"":""+81-90-8819-3178""}"	"[{""sku"":""WIDGET-117"",""qty"":2,""price"":13910}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":27820,""status"":""settled""}"	mobile
C295628	2025-01-28T15:40:47Z	"{""email"":""kim9564@example.kr"",""country"":""KR"",""phone"":""+82-10-3075-2876""}"	"[{""sku"":""WIDGET-271"",""qty"":3,""price"":263677}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":791031,""status"":""settled""}"	mobile
C286789	2025-01-28T07:50:17Z	"{""email"":""yamada5609@example.kr"",""country"":""KR"",""phone"":""+82-10-4097-1365""}"	"[{""sku"":""WIDGET-316"",""qty"":3,""price"":177031}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":531093,""status"":""pending""}"	desktop
C289930	2025-01-28T06:10:13Z	"{""email"":""lee2681@example.jp"",""country"":""JP"",""phone"":""+81-90-3487-6625""}"	"[{""sku"":""WIDGET-167"",""qty"":5,""price"":24009}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":120045,""status"":""completed""}"	desktop
C293928	2025-01-28T21:30:19Z	"{""email"":""suzuki2566@example.jp"",""country"":""JP"",""phone"":""+81-90-7540-9788""}"	"[{""sku"":""WIDGET-180"",""qty"":3,""price"":16319}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":48957,""status"":""settled""}"	desktop
C293706	2025-01-28T18:05:58Z	"{""email"":""park3100@example.kr"",""country"":""KR"",""phone"":""+82-10-7275-6168""}"	"[{""sku"":""WIDGET-131"",""qty"":4,""price"":120666}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":482664,""status"":""settled""}"	tablet
C292463	2025-01-28T03:00:59Z	"{""email"":""kim2650@example.jp"",""country"":""JP"",""phone"":""+81-90-4546-8502""}"	"[{""sku"":""WIDGET-334"",""qty"":4,""price"":1424}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":5696,""status"":""completed""}"	mobile
C290286	2025-01-28T16:50:15Z	"{""email"":""park4264@example.kr"",""country"":""KR"",""phone"":""+82-10-5755-3603""}"	"[{""sku"":""WIDGET-109"",""qty"":2,""price"":218006}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":436012,""status"":""completed""}"	mobile
C291425	2025-01-28T13:00:06Z	"{""email"":""park8432@example.kr"",""country"":""KR"",""phone"":""+82-10-8940-4173""}"	"[{""sku"":""WIDGET-282"",""qty"":2,""price"":118828}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":237656,""status"":""settled""}"	desktop
C288812	2025-01-28T04:05:57Z	"{""email"":""park1754@example.jp"",""country"":""JP"",""phone"":""+81-90-7300-4243""}"	"[{""sku"":""WIDGET-360"",""qty"":5,""price"":5192}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":25960,""status"":""completed""}"	tablet
C295055	2025-01-28T03:00:03Z	"{""email"":""kim2791@example.jp"",""country"":""JP"",""phone"":""+81-90-5064-3849""}"	"[{""sku"":""WIDGET-105"",""qty"":2,""price"":13745}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":27490,""status"":""settled""}"	tablet
C290443	2025-01-28T12:25:15Z	"{""email"":""yamada9779@example.jp"",""country"":""JP"",""phone"":""+81-90-1947-4486""}"	"[{""sku"":""WIDGET-165"",""qty"":2,""price"":17217}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":34434,""status"":""completed""}"	tablet
C291709	2025-01-28T16:25:34Z	"{""email"":""park4113@example.kr"",""country"":""KR"",""phone"":""+82-10-9157-3140""}"	"[{""sku"":""WIDGET-222"",""qty"":5,""price"":39735}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":198675,""status"":""settled""}"	mobile
C294247	2025-01-28T17:45:44Z	"{""email"":""lee7019@example.jp"",""country"":""JP"",""phone"":""+81-90-9416-2464""}"	"[{""sku"":""WIDGET-396"",""qty"":2,""price"":24766}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":49532,""status"":""pending""}"	tablet
C285242	2025-01-28T21:50:15Z	"{""email"":""tanaka2866@example.jp"",""country"":""JP"",""phone"":""+81-90-3867-5278""}"	"[{""sku"":""WIDGET-317"",""qty"":2,""price"":3171}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":6342,""status"":""completed""}"	desktop
C286091	2025-01-28T11:25:57Z	"{""email"":""yamada8782@example.kr"",""country"":""KR"",""phone"":""+82-10-4677-4459""}"	"[{""sku"":""WIDGET-389"",""qty"":1,""price"":31852}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":31852,""status"":""settled""}"	desktop
C290023	2025-01-28T02:30:09Z	"{""email"":""yamada3719@example.kr"",""country"":""KR"",""phone"":""+82-10-7450-1350""}"	"[{""sku"":""WIDGET-379"",""qty"":5,""price"":160837}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":804185,""status"":""completed""}"	tablet
C291236	2025-01-28T08:25:40Z	"{""email"":""lee774@example.jp"",""country"":""JP"",""phone"":""+81-90-4678-6389""}"	"[{""sku"":""WIDGET-241"",""qty"":4,""price"":5900}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":23600,""status"":""settled""}"	mobile
