order_number	created_at	customer_info	line_items	payment_details	device_type
C104854	2025-01-10T20:05:53Z	"{""email"":""kim5649@example.kr"",""country"":""KR"",""phone"":""+82-10-1472-2052""}"	"[{""sku"":""WIDGET-123"",""qty"":4,""price"":221319}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":885276,""status"":""settled""}"	tablet
C105242	2025-01-10T07:05:09Z	"{""email"":""lee5235@example.kr"",""country"":""KR"",""phone"":""+82-10-2722-1041""}"	"[{""sku"":""WIDGET-338"",""qty"":2,""price"":58719}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":117438,""status"":""settled""}"	tablet
C97166	2025-01-10T03:30:03Z	"{""email"":""suzuki966@example.kr"",""country"":""KR"",""phone"":""+82-10-9231-2327""}"	"[{""sku"":""WIDGET-109"",""qty"":2,""price"":208577}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":417154,""status"":""settled""}"	mobile
C105323	2025-01-10T22:55:51Z	"{""email"":""suzuki190@example.jp"",""country"":""JP"",""phone"":""+81-90-6244-3743""}"	"[{""sku"":""WIDGET-286"",""qty"":4,""price"":18017}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":72068,""status"":""pending""}"	tablet
C97159	2025-01-10T01:20:11Z	"{""email"":""park4326@example.kr"",""country"":""KR"",""phone"":""+82-10-6093-4333""}"	"[{""sku"":""WIDGET-399"",""qty"":1,""price"":112709}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":112709,""status"":""settled""}"	mobile
C104923	2025-01-10T18:20:16Z	"{""email"":""lee416@example.jp"",""country"":""JP"",""phone"":""+81-90-8041-7217""}"	"[{""sku"":""WIDGET-273"",""qty"":4,""price"":19069}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":76276,""status"":""completed""}"	tablet
C96800	2025-01-10T22:45:04Z	"{""email"":""suzuki6128@example.kr"",""country"":""KR"",""phone"":""+82-10-7628-8344""}"	"[{""sku"":""WIDGET-388"",""qty"":2,""price"":105165}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":210330,""status"":""settled""}"	tablet
C98895	2025-01-10T16:50:51Z	"{""email"":""yamada7456@example.jp"",""country"":""JP"",""phone"":""+81-90-5051-3252""}"	"[{""sku"":""WIDGET-202"",""qty"":3,""price"":7545}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":22635,""status"":""completed""}"	desktop
C102823	2025-01-10T22:40:39Z	"{""email"":""suzuki5975@example.kr"",""country"":""KR"",""phone"":""+82-10-3459-2187""}"	"[{""sku"":""WIDGET-210"",""qty"":3,""price"":208696}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":626088,""status"":""completed""}"	desktop
C96892	2025-01-10T21:50:58Z	"{""email"":""yamada4613@example.jp"",""country"":""JP"",""phone"":""+81-90-3595-2869""}"	"[{""sku"":""WIDGET-109"",""qty"":5,""price"":13797}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":68985,""status"":""settled""}"	desktop
C100626	2025-01-10T15:00:15Z	"{""email"":""lee6623@example.jp"",""country"":""JP"",""phone"":""+81-90-6353-7004""}"	"[{""sku"":""WIDGET-349"",""qty"":5,""price"":8688}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":43440,""status"":""settled""}"	tablet
C104442	2025-01-10T20:00:48Z	"{""email"":""suzuki1095@example.jp"",""country"":""JP"",""phone"":""+81-90-1817-2879""}"	"[{""sku"":""WIDGET-100"",""qty"":2,""price"":25539}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":51078,""status"":""settled""}"	mobile
C95749	2025-01-10T17:20:40Z	"{""email"":""park6656@example.jp"",""country"":""JP"",""phone"":""+81-90-6774-3559""}"	"[{""sku"":""WIDGET-289"",""qty"":4,""price"":9180}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":36720,""status"":""pending""}"	desktop
C99267	2025-01-10T21:35:27Z	"{""email"":""lee9006@example.jp"",""country"":""JP"",""phone"":""+81-90-8041-2983""}"	"[{""sku"":""WIDGET-206"",""qty"":4,""price"":807}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":3228,""status"":""settled""}"	mobile
C96742	2025-01-10T10:45:36Z	"{""email"":""yamada6392@example.kr"",""country"":""KR"",""phone"":""+82-10-3285-8934""}"	"[{""sku"":""WIDGET-255"",""qty"":2,""price"":199848}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":399696,""status"":""settled""}"	desktop
C101524	2025-01-10T23:05:23Z	"{""email"":""suzuki2315@example.kr"",""country"":""KR"",""phone"":""+82-10-6823-4279""}"	"[{""sku"":""WIDGET-374"",""qty"":5,""price"":194348}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":971740,""status"":""completed""}"	tablet
C98844	2025-01-10T12:15:13Z	"{""email"":""kim7221@example.kr"",""country"":""KR"",""phone"":""+82-10-7360-9116""}"	"[{""sku"":""WIDGET-166"",""qty"":2,""price"":156988}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":313976,""status"":""settled""}"	tablet
C100520	2025-01-10T10:10:08Z	"{""email"":""lee2658@example.kr"",""country"":""KR"",""phone"":""+82-10-5456-6456""}"	"[{""sku"":""WIDGET-145"",""qty"":4,""price"":230397}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":921588,""status"":""settled""}"	desktop
C96859	2025-01-10T20:30:35Z	"{""email"":""tanaka3429@example.kr"",""country"":""KR"",""phone"":""+82-10-9610-8711""}"	"[{""sku"":""WIDGET-312"",""qty"":1,""price"":212595}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":212595,""status"":""settled""}"	tablet
C95645	2025-01-10T01:50:51Z	"{""email"":""suzuki6761@example.kr"",""country"":""KR"",""phone"":""+82-10-4553-1419""}"	"[{""sku"":""WIDGET-387"",""qty"":3,""price"":74980}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":224940,""status"":""settled""}"	mobile
C97175	2025-01-10T11:00:03Z	"{""email"":""yamada9131@example.kr"",""country"":""KR"",""phone"":""+82-10-3286-7849""}"	"[{""sku"":""WIDGET-340"",""qty"":1,""price"":41996}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":41996,""status"":""settled""}"	mobile
C102650	2025-01-10T03:35:28Z	"{""email"":""suzuki8143@example.kr"",""country"":""KR"",""phone"":""+82-10-5770-1352""}"	"[{""sku"":""WIDGET-207"",""qty"":3,""price"":174114}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":522342,""status"":""settled""}"	desktop
C101790	2025-01-10T02:30:29Z	"{""email"":""lee721@example.jp"",""country"":""JP"",""phone"":""+81-90-2986-5089""}"	"[{""sku"":""WIDGET-135"",""qty"":2,""price"":12522}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":25044,""status"":""completed""}"	mobile
C100059	2025-01-10T18:20:28Z	"{""email"":""tanaka6198@example.kr"",""country"":""KR"",""phone"":""+82-10-5088-1616""}"	"[{""sku"":""WIDGET-217"",""qty"":4,""price"":124973}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":499892,""status"":""completed""}"	tablet
C98966	2025-01-10T09:05:41Z	"{""email"":""lee3774@example.jp"",""country"":""JP"",""phone"":""+81-90-9193-1718""}"	"[{""sku"":""WIDGET-275"",""qty"":3,""price"":13553}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":40659,""status"":""pending""}"	desktop
C97961	2025-01-10T10:00:25Z	"{""email"":""yamada4302@example.jp"",""country"":""JP"",""phone"":""+81-90-6933-3486""}"	"[{""sku"":""WIDGET-142"",""qty"":3,""price"":22071}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":66213,""status"":""settled""}"	tablet
C97103	2025-01-10T16:30:52Z	"{""email"":""yamada8603@example.kr"",""country"":""KR"",""phone"":""+82-10-6870-4045""}"	"[{""sku"":""WIDGET-361"",""qty"":2,""price"":97700}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":195400,""status"":""settled""}"	tablet
C98283	2025-01-10T04:30:33Z	"{""email"":""kim693@example.jp"",""country"":""JP"",""phone"":""+81-90-3206-7099""}"	"[{""sku"":""WIDGET-362"",""qty"":1,""price"":21712}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":21712,""status"":""settled""}"	tablet
C101172	2025-01-10T19:05:26Z	"{""email"":""kim5189@example.kr"",""country"":""KR"",""phone"":""+82-10-5057-7449""}"	"[{""sku"":""WIDGET-237"",""qty"":3,""price"":245342}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":736026,""status"":""settled""}"	desktop
C104087	2025-01-10T21:05:14Z	"{""email"":""kim2744@example.jp"",""country"":""JP"",""phone"":""+81-90-8481-9030""}"	"[{""sku"":""WIDGET-133"",""qty"":1,""price"":20468}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":20468,""status"":""settled""}"	mobile
