order_number	created_at	customer_info	line_items	payment_details	device_type
C96333	2025-01-10T19:55:24Z	"{""email"":""tanaka5508@example.jp"",""country"":""JP"",""phone"":""+81-90-6412-2391""}"	"[{""sku"":""WIDGET-291"",""qty"":1,""price"":16581}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":16581,""status"":""completed""}"	desktop
C103762	2025-01-10T05:50:02Z	"{""email"":""park1146@example.kr"",""country"":""KR"",""phone"":""+82-10-6641-7654""}"	"[{""sku"":""WIDGET-124"",""qty"":2,""price"":64691}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":129382,""status"":""settled""}"	desktop
C99983	2025-01-10T19:55:59Z	"{""email"":""lee5407@example.jp"",""country"":""JP"",""phone"":""+81-90-5137-1678""}"	"[{""sku"":""WIDGET-386"",""qty"":3,""price"":947}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":2841,""status"":""pending""}"	tablet
C96844	2025-01-10T08:35:46Z	"{""email"":""yamada4508@example.jp"",""country"":""JP"",""phone"":""+81-90-8687-5249""}"	"[{""sku"":""WIDGET-315"",""qty"":4,""price"":16206}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":64824,""status"":""completed""}"	desktop
C100279	2025-01-10T10:45:08Z	"{""email"":""tanaka1660@example.kr"",""country"":""KR"",""phone"":""+82-10-3572-8685""}"	"[{""sku"":""WIDGET-360"",""qty"":4,""price"":108050}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":432200,""status"":""completed""}"	tablet
C104027	2025-01-10T19:45:06Z	"{""email"":""yamada4279@example.jp"",""country"":""JP"",""phone"":""+81-90-4215-5645""}"	"[{""sku"":""WIDGET-271"",""qty"":1,""price"":20785}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":20785,""status"":""completed""}"	desktop
C101694	2025-01-10T21:50:55Z	"{""email"":""suzuki7044@example.kr"",""country"":""KR"",""phone"":""+82-10-7396-1443""}"	"[{""sku"":""WIDGET-399"",""qty"":5,""price"":131319}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":656595,""status"":""completed""}"	tablet
C101609	2025-01-10T10:30:34Z	"{""email"":""kim70@example.jp"",""country"":""JP"",""phone"":""+81-90-2478-1305""}"	"[{""sku"":""WIDGET-183"",""qty"":4,""price"":16536}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":66144,""status"":""settled""}"	mobile
C104206	2025-01-10T05:30:16Z	"{""email"":""tanaka6511@example.kr"",""country"":""KR"",""phone"":""+82-10-3680-6090""}"	"[{""sku"":""WIDGET-391"",""qty"":3,""price"":133129}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":399387,""status"":""pending""}"	mobile
C102641	2025-01-10T08:35:01Z	"{""email"":""park9346@example.kr"",""country"":""KR"",""phone"":""+82-10-7505-9409""}"	"[{""sku"":""WIDGET-191"",""qty"":3,""price"":149678}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":449034,""status"":""completed""}"	mobile
