order_id,order_date,customer_email,product_sku,quantity,unit_price,total_amount,payment_method,store_id
US231090,02/15/2025,john.miller2631@yahoo.com,GADGET-15,3,69.66,208.98,bank_transfer,STORE_109
US229819,02/15/2025,lisa.brown2566@yahoo.com,GADGET-59,4,248.74,994.96,google_pay,STORE_106
US237636,02/15/2025,david.smith185@outlook.com,GADGET-59,4,242.0,774.4,credit_card,STORE_103
US228646,02/15/2025,sam.miller3969@outlook.com,GADGET-15,4,88.61,354.44,apple_pay,STORE_104
US232331,02/15/2025,lisa.jones1509@gmail.com,GADGET-79,1,228.87,228.87,bank_transfer,STORE_117
US240632,02/15/2025,david.williams2234@gmail.com,GADGET-41,1,239.18,239.18,paypal,STORE_102
US235487,02/15/2025,jane.johnson6859@yahoo.com,GADGET-52,2,235.65,471.3,apple_pay,STORE_105
US228544,02/15/2025,david.jones7205@email.com,GADGET-58,2,24.58,49.16,bank_transfer,STORE_109
US236674,02/15/2025,sam.smith3014@gmail.com,GADGET-19,3,129.32,329.77,credit_card,STORE_117
US237765,02/15/2025,chris.miller2454@gmail.com,GADGET-79,2,21.93,35.09,bank_transfer,STORE_107
US233732,02/15/2025,alex.brown4070@gmail.com,GADGET-46,3,108.91,326.73,apple_pay,STORE_112
US234346,02/15/2025,john.brown2431@gmail.com,GADGET-22,3,100.29,300.87,credit_card,STORE_107
US235616,02/15/2025,lisa.johnson9866@outlook.com,GADGET-47,1,260.52,260.52,google_pay,STORE_105
US229885,02/15/2025,chris.brown3916@yahoo.com,GADGET-42,3,278.43,835.29,bank_transfer,STORE_116
US232370,02/15/2025,david.williams4770@yahoo.com,GADGET-49,1,157.35,157.35,credit_card,STORE_118
US241430,02/15/2025,alex.williams2509@yahoo.com,GADGET-68,5,156.72,783.6,apple_pay,STORE_117
US238622,02/15/2025,sam.jones6680@outlook.com,GADGET-16,3,207.91,530.17,google_pay,STORE_113
US228431,02/15/2025,sam.johnson7012@outlook.com,GADGET-38,3,296.99,890.97,apple_pay,STORE_101
US230664,02/15/2025,maria.williams878@yahoo.com,GADGET-46,1,243.77,195.02,bank_transfer,STORE_119
US231060,02/15/2025,alex.johnson3601@outlook.com,GADGET-33,4,139.35,557.4,credit_card,STORE_114
US231411,02/15/2025,david.miller4366@email.com,GADGET-47,5,213.19,799.46,credit_card,STORE_104
US241755,02/15/2025,jane.johnson8438@gmail.com,GADGET-28,3,237.53,712.59,credit_card,STORE_107
US232998,02/15/2025,maria.miller8977@gmail.com,GADGET-48,5,157.26,629.04,paypal,STORE_107
US231868,02/15/2025,alex.smith9499@yahoo.com,GADGET-77,2,201.24,402.48,google_pay,STORE_113
US239819,02/15/2025,john.smith3548@yahoo.com,GADGET-25,1,238.8,191.04,paypal,STORE_106
US230424,02/15/2025,david.miller6488@outlook.com,GADGET-07,5,284.26,1065.97,apple_pay,STORE_112
US241188,02/15/2025,john.jones887@outlook.com,GADGET-73,4,148.61,445.83,google_pay,STORE_111
US230604,02/15/2025,sam.jones732@yahoo.com,GADGET-74,5,128.24,512.96,google_pay,STORE_119
US240591,02/15/2025,david.smith5624@email.com,GADGET-61,3,253.46,760.38,credit_card,STORE_104
US234944,02/15/2025,maria.brown2822@gmail.com,GADGET-17,3,157.62,472.86,paypal,STORE_111
US238837,02/15/2025,lisa.smith6196@email.com,GADGET-33,1,254.27,254.27,bank_transfer,STORE_119
US240109,02/15/2025,david.williams4377@outlook.com,GADGET-06,2,37.47,74.94,google_pay,STORE_102
US230183,02/15/2025,alex.williams7433@yahoo.com,GADGET-66,1,156.16,156.16,credit_card,STORE_102
US235996,02/15/2025,chris.williams5032@email.com,GADGET-37,5,191.85,959.25,google_pay,STORE_116
US236526,02/15/2025,jane.brown5757@email.com,GADGET-46,1,240.96,204.82,google_pay,STORE_108
US230063,02/15/2025,john.jones9333@outlook.com,GADGET-31,3,201.73,605.19,google_pay,STORE_105
US239822,02/15/2025,alex.williams1246@yahoo.com,GADGET-64,4,241.01,964.04,bank_transfer,STORE_106
US231911,02/15/2025,sam.miller4713@gmail.com,GADGET-64,1,247.18,197.74,google_pay,STORE_110
US238763,02/15/2025,maria.brown8376@gmail.com,GADGET-70,3,50.62,136.67,paypal,STORE_113
US235778,02/15/2025,sam.miller4733@email.com,GADGET-72,2,153.62,307.24,credit_card,STORE_105
US238999,02/15/2025,john.williams4385@gmail.com,GADGET-58,5,39.59,197.95,google_pay,STORE_119
US230221,02/15/2025,david.jones4717@email.com,GADGET-25,1,168.46,168.46,google_pay,STORE_104
US241190,02/15/2025,lisa.johnson5791@outlook.com,GADGET-52,3,148.93,335.09,paypal,STORE_113
US239699,02/15/2025,john.johnson5544@email.com,GADGET-29,4,27.09,97.52,bank_transfer,STORE_114
US230859,02/15/2025,david.miller7752@gmail.com,GADGET-54,1,150.96,150.96,apple_pay,STORE_118
US238832,02/15/2025,jane.johnson463@email.com,GADGET-32,3,292.95,878.85,credit_card,STORE_113
US238571,02/15/2025,sam.jones3696@gmail.com,GADGET-19,2,257.95,515.9,paypal,STORE_103
US228856,02/15/2025,jane.johnson1486@outlook.com,GADGET-72,4,114.74,458.96,paypal,STORE_119
US240906,02/15/2025,maria.brown6488@yahoo.com,GADGET-58,1,181.49,145.19,google_pay,STORE_114
US239412,02/15/2025,alex.jones2207@gmail.com,GADGET-70,2,279.49,558.98,credit_card,STORE_111
US235530,02/15/2025,chris.jones5@yahoo.com,GADGET-02,4,269.56,1078.24,credit_card,STORE_112
US238557,02/15/2025,chris.miller7798@gmail.com,GADGET-61,2,78.54,157.08,credit_card,STORE_110
US235020,02/15/2025,alex.johnson4076@outlook.com,GADGET-70,4,233.97,935.88,credit_card,STORE_102
US229720,02/15/2025,david.johnson2149@gmail.com,GADGET-37,5,296.21,1481.05,google_pay,STORE_108
US229316,02/15/2025,jane.williams5814@yahoo.com,GADGET-73,2,92.27,184.54,bank_transfer,STORE_119
US235794,02/15/2025,david.williams3493@outlook.com,GADGET-27,5,161.64,808.2,credit_card,STORE_109
US241963,02/15/2025,sam.brown481@yahoo.com,GADGET-23,2,245.57,417.47,apple_pay,STORE_109
US228146,02/15/2025,john.jones3837@outlook.com,GADGET-67,1,274.99,206.24,paypal,STORE_118
US229211,02/15/2025,sam.smith7404@yahoo.com,GADGET-44,3,236.77,603.76,apple_pay,STORE_105
US230128,02/15/2025,david.miller3094@email.com,GADGET-73,1,225.14,225.14,google_pay,STORE_111
US240633,02/15/2025,chris.smith6737@email.com,GADGET-67,4,238.58,763.46,paypal,STORE_111
US231355,02/15/2025,alex.smith6551@email.com,GADGET-40,2,229.93,367.89,bank_transfer,STORE_110
US235798,02/15/2025,david.johnson2215@gmail.com,GADGET-18,3,190.1,570.3,bank_transfer,STORE_111
US230700,02/15/2025,david.miller5429@email.com,GADGET-14,2,52.99,95.38,credit_card,STORE_102
US237835,02/15/2025,john.brown318@yahoo.com,GADGET-77,2,120.89,193.42,bank_transfer,STORE_110
US240415,02/15/2025,sam.brown5158@outlook.com,GADGET-34,4,78.43,313.72,credit_card,STORE_104
US228564,02/15/2025,alex.jones9788@outlook.com,GADGET-44,2,269.66,539.32,bank_transfer,STORE_110
US241738,02/15/2025,david.miller4218@email.com,GADGET-44,2,275.88,551.76,credit_card,STORE_117
US235399,02/15/2025,john.williams415@email.com,GADGET-44,1,190.12,190.12,bank_transfer,STORE_101
US234124,02/15/2025,david.williams7350@gmail.com,GADGET-31,2,38.72,77.44,paypal,STORE_112
US237484,02/15/2025,sam.jones839@outlook.com,GADGET-78,3,223.92,571.0,bank_transfer,STORE_117
US236955,02/15/2025,maria.smith4413@email.com,GADGET-09,1,32.66,27.76,google_pay,STORE_101
US239106,02/15/2025,maria.smith8875@yahoo.com,GADGET-19,2,237.22,379.55,google_pay,STORE_118
US237938,02/15/2025,john.jones99@gmail.com,GADGET-48,1,104.39,104.39,apple_pay,STORE_118
US238302,02/15/2025,alex.williams715@email.com,GADGET-59,1,188.88,151.1,credit_card,STORE_108
US240329,02/15/2025,chris.williams2942@outlook.com,GADGET-25,3,240.66,649.78,credit_card,STORE_116
US234090,02/15/2025,david.brown5536@gmail.com,GADGET-58,3,226.34,679.02,paypal,STORE_107
US236311,02/15/2025,lisa.brown7396@gmail.com,GADGET-54,5,160.64,803.2,credit_card,STORE_108
US230954,02/15/2025,david.smith7359@yahoo.com,GADGET-61,2,186.39,372.78,bank_transfer,STORE_103
US230086,02/15/2025,chris.brown7542@gmail.com,GADGET-64,5,177.35,886.75,bank_transfer,STORE_106
US228318,02/15/2025,maria.williams4827@yahoo.com,GADGET-06,5,43.57,217.85,google_pay,STORE_108
US232327,02/15/2025,jane.smith5962@yahoo.com,GADGET-53,4,178.32,713.28,paypal,STORE_113
US228210,02/15/2025,alex.johnson7297@email.com,GADGET-06,4,58.09,232.36,paypal,STORE_101
