order_id,order_date,email,product_sku,quantity,unit_price,total_amount,payment_method,store_id,promo_code,discount_pct,loyalty_points
US819782,03/28/2025,john.miller5132@outlook.com,GADGET-23,1,128.57,128.57,paypal,STORE_112,,,
US822943,03/28/2025,lisa.williams2451@gmail.com,GADGET-67,5,189.81,949.05,google_pay,STORE_116,,,
US814462,03/28/2025,sam.williams3759@yahoo.com,GADGET-75,2,209.28,418.56,bank_transfer,STORE_108,,,
US820579,03/28/2025,john.johnson5922@yahoo.com,GADGET-68,4,297.66,952.51,credit_card,STORE_111,SAVE20,20.0,200.0
US815434,03/28/2025,sam.williams5249@gmail.com,GADGET-54,4,230.51,829.84,paypal,STORE_119,SAVE10,10.0,100.0
US825909,03/28/2025,sam.jones2080@yahoo.com,GADGET-38,3,189.88,484.19,apple_pay,STORE_113,WELCOME15,15.0,150.0
US815685,03/28/2025,john.johnson6147@yahoo.com,GADGET-33,2,27.91,55.82,google_pay,STORE_104,,,
US812843,03/28/2025,lisa.brown2224@email.com,GADGET-12,3,126.37,379.11,google_pay,STORE_102,,,
US824990,03/28/2025,john.miller5694@outlook.com,GADGET-58,4,267.2,1068.8,bank_transfer,STORE_120,,,
US817838,03/28/2025,alex.smith1084@yahoo.com,GADGET-60,3,158.04,474.12,bank_transfer,STORE_118,,,
US822771,03/28/2025,john.brown1278@email.com,GADGET-21,5,154.29,771.45,paypal,STORE_105,,,
US814536,03/28/2025,jane.brown6189@email.com,GADGET-29,4,245.09,980.36,apple_pay,STORE_104,,,
US820597,03/28/2025,david.miller7853@yahoo.com,GADGET-73,2,83.86,167.72,google_pay,STORE_116,,,
US820299,03/28/2025,sam.smith9444@outlook.com,GADGET-40,2,106.51,213.02,paypal,STORE_101,,,
US819787,03/28/2025,maria.smith3005@yahoo.com,GADGET-17,5,179.92,719.68,credit_card,STORE_112,SAVE20,20.0,200.0
US821061,03/28/2025,alex.brown3761@outlook.com,GADGET-15,3,291.44,786.89,google_pay,STORE_119,SAVE10,10.0,100.0
US819646,03/28/2025,john.miller833@outlook.com,GADGET-13,1,273.85,273.85,bank_transfer,STORE_109,,,
US824780,03/28/2025,john.johnson5540@outlook.com,GADGET-70,1,204.72,204.72,credit_card,STORE_108,,,
US822242,03/28/2025,lisa.johnson9825@outlook.com,GADGET-26,1,164.07,123.05,bank_transfer,STORE_118,VIP25,25.0,250.0
US818560,03/28/2025,sam.smith668@yahoo.com,GADGET-41,5,142.76,535.35,paypal,STORE_119,VIP25,25.0,250.0
US820986,03/28/2025,david.miller4947@outlook.com,GADGET-54,4,88.56,354.24,paypal,STORE_114,,,
US814436,03/28/2025,maria.brown5640@email.com,GADGET-70,3,121.88,274.23,google_pay,STORE_105,VIP25,25.0,250.0
US818996,03/28/2025,lisa.brown9486@yahoo.com,GADGET-32,5,173.0,692.0,credit_card,STORE_112,SAVE20,20.0,200.0
US826409,03/28/2025,lisa.jones6096@gmail.com,GADGET-52,2,130.97,261.94,apple_pay,STORE_116,,,
US819653,03/28/2025,alex.johnson100@email.com,GADGET-24,2,70.02,140.04,credit_card,STORE_116,,,
US817709,03/28/2025,alex.williams4857@gmail.com,GADGET-14,5,60.06,300.3,apple_pay,STORE_119,,,
US812615,03/28/2025,maria.jones8022@outlook.com,GADGET-26,4,204.44,654.21,bank_transfer,STORE_116,SAVE20,20.0,200.0
US821736,03/28/2025,chris.williams185@yahoo.com,GADGET-16,4,102.72,349.25,google_pay,STORE_115,WELCOME15,15.0,150.0
US815467,03/28/2025,maria.miller1508@email.com,GADGET-14,1,267.76,267.76,google_pay,STORE_113,,,
US814272,03/28/2025,jane.brown7135@yahoo.com,GADGET-26,3,217.38,521.71,credit_card,STORE_118,SAVE20,20.0,200.0
US812307,03/28/2025,sam.williams7615@gmail.com,GADGET-54,4,231.63,926.52,apple_pay,STORE_101,,,
US823448,03/28/2025,alex.johnson3666@gmail.com,GADGET-16,1,187.69,150.15,google_pay,STORE_114,SAVE20,20.0,200.0
US817861,03/28/2025,alex.miller8051@gmail.com,GADGET-60,2,293.37,440.06,paypal,STORE_104,VIP25,25.0,250.0
US814419,03/28/2025,lisa.jones6735@yahoo.com,GADGET-61,2,200.2,400.4,google_pay,STORE_104,,,
US815988,03/28/2025,david.johnson4899@yahoo.com,GADGET-52,2,107.02,214.04,apple_pay,STORE_110,,,
US819288,03/28/2025,jane.miller8157@outlook.com,GADGET-20,2,111.65,223.3,bank_transfer,STORE_105,,,
US813196,03/28/2025,jane.brown3339@gmail.com,GADGET-38,2,251.48,502.96,google_pay,STORE_118,,,
US815290,03/28/2025,david.williams4396@email.com,GADGET-69,1,34.88,29.65,bank_transfer,STORE_116,WELCOME15,15.0,150.0
US819978,03/28/2025,sam.smith4955@email.com,GADGET-53,5,79.02,296.32,apple_pay,STORE_106,VIP25,25.0,250.0
US822081,03/28/2025,chris.jones3178@outlook.com,GADGET-32,5,133.49,600.71,google_pay,STORE_102,SAVE10,10.0,100.0
US819299,03/28/2025,chris.johnson4679@yahoo.com,GADGET-48,2,272.99,545.98,paypal,STORE_108,,,
US824158,03/28/2025,jane.jones5894@outlook.com,GADGET-07,5,224.35,897.4,apple_pay,STORE_102,SAVE20,20.0,200.0
US813247,03/28/2025,jane.smith5001@gmail.com,GADGET-34,2,71.1,127.98,google_pay,STORE_119,SAVE10,10.0,100.0
US816424,03/28/2025,sam.williams9319@outlook.com,GADGET-50,2,235.98,353.97,credit_card,STORE_107,VIP25,25.0,250.0
US821453,03/28/2025,lisa.johnson1612@yahoo.com,GADGET-69,2,86.35,172.7,google_pay,STORE_115,,,
US820046,03/28/2025,maria.jones25@outlook.com,GADGET-34,5,224.75,1123.75,google_pay,STORE_111,,,
US816805,03/28/2025,jane.miller9684@outlook.com,GADGET-64,2,53.19,106.38,apple_pay,STORE_119,,,
US822837,03/28/2025,sam.miller9440@email.com,GADGET-22,5,236.76,1065.42,bank_transfer,STORE_111,SAVE10,10.0,100.0
US818404,03/28/2025,david.johnson4935@outlook.com,GADGET-17,5,165.14,743.13,paypal,STORE_107,SAVE10,10.0,100.0
US812761,03/28/2025,sam.williams6263@yahoo.com,GADGET-66,1,57.76,49.1,google_pay,STORE_120,WELCOME15,15.0,150.0
US820062,03/28/2025,john.smith1294@email.com,GADGET-10,2,293.93,587.86,credit_card,STORE_117,,,
US822322,03/28/2025,david.jones967@outlook.com,GADGET-76,1,254.83,216.61,bank_transfer,STORE_113,WELCOME15,15.0,150.0
US821489,03/28/2025,jane.johnson5677@outlook.com,GADGET-73,1,140.3,140.3,apple_pay,STORE_105,,,
US824065,03/28/2025,chris.miller5544@outlook.com,GADGET-27,4,80.58,257.86,bank_transfer,STORE_111,SAVE20,20.0,200.0
US814646,03/28/2025,david.williams9804@email.com,GADGET-71,3,175.17,525.51,google_pay,STORE_103,,,
US814691,03/28/2025,david.johnson4349@email.com,GADGET-45,4,159.17,636.68,google_pay,STORE_118,,,
US822683,03/28/2025,maria.miller776@outlook.com,GADGET-69,1,113.09,113.09,apple_pay,STORE_110,,,
US816557,03/28/2025,john.brown8991@outlook.com,GADGET-29,5,251.81,1133.14,google_pay,STORE_101,SAVE10,10.0,100.0
US818796,03/28/2025,david.smith876@outlook.com,GADGET-06,2,276.53,553.06,bank_transfer,STORE_108,,,
US825997,03/28/2025,john.williams1683@email.com,GADGET-05,5,35.05,131.44,google_pay,STORE_120,VIP25,25.0,250.0
US820443,03/28/2025,lisa.jones3493@gmail.com,GADGET-26,4,151.17,544.21,google_pay,STORE_107,SAVE10,10.0,100.0
US819508,03/28/2025,maria.brown4693@gmail.com,GADGET-36,3,296.83,712.39,bank_transfer,STORE_108,SAVE20,20.0,200.0
US814234,03/28/2025,lisa.williams2062@outlook.com,GADGET-44,1,69.73,69.73,google_pay,STORE_108,,,
US813434,03/28/2025,john.williams2882@email.com,GADGET-63,2,68.36,116.21,credit_card,STORE_101,WELCOME15,15.0,150.0
US823250,03/28/2025,chris.smith3948@outlook.com,GADGET-75,1,227.55,227.55,paypal,STORE_119,,,
US813683,03/28/2025,jane.jones1787@outlook.com,GADGET-14,3,37.76,113.28,credit_card,STORE_103,,,
US819593,03/28/2025,alex.miller4847@email.com,GADGET-07,5,231.48,1157.4,google_pay,STORE_116,,,
US821561,03/28/2025,alex.jones4492@gmail.com,GADGET-08,4,77.2,308.8,bank_transfer,STORE_103,,,
US816232,03/28/2025,maria.miller9095@outlook.com,GADGET-40,2,90.25,180.5,paypal,STORE_117,,,
US815043,03/28/2025,sam.jones497@gmail.com,GADGET-30,3,207.56,622.68,bank_transfer,STORE_104,,,
US812282,03/28/2025,david.johnson8176@email.com,GADGET-38,3,232.62,628.07,paypal,STORE_104,SAVE10,10.0,100.0
US815445,03/28/2025,david.miller2689@outlook.com,GADGET-24,2,146.05,292.1,apple_pay,STORE_101,,,
US813556,03/28/2025,john.miller6514@gmail.com,GADGET-57,1,176.71,150.2,apple_pay,STORE_102,WELCOME15,15.0,150.0
US815908,03/28/2025,sam.miller9639@outlook.com,GADGET-38,3,292.04,876.12,paypal,STORE_106,,,
US819114,03/28/2025,alex.brown1195@outlook.com,GADGET-68,4,208.33,833.32,credit_card,STORE_102,,,
US822496,03/28/2025,alex.johnson3331@outlook.com,GADGET-09,1,257.7,219.04,apple_pay,STORE_115,WELCOME15,15.0,150.0
US812541,03/28/2025,john.jones7584@yahoo.com,GADGET-66,4,47.64,190.56,credit_card,STORE_114,,,
US822664,03/28/2025,alex.jones8903@yahoo.com,GADGET-37,1,121.43,121.43,paypal,STORE_118,,,
